표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7098120009","098120","(주)마이크로컨텍솔루션","마이크로컨텍솔","Micro Contact Solution Co.,Ltd.","2008/09/23","KOSDAQ","주권","벤처기업부","보통주","500","8312766"
"KR7131100000","131100","(주)스카이이앤엠","스카이이앤엠","SKY E&M Co., Ltd.","2011/06/14","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","100","40682403"
"KR7009520008","009520","(주)포스코엠텍","포스코엠텍","POSCO M-TECH CO.,LTD.","1997/11/10","KOSDAQ","주권","우량기업부","보통주","500","41642703"
"KR7058820002","058820","CMG제약","CMG제약","CMG Pharmaceutical Co., Ltd.","2001/08/31","KOSDAQ","주권","우량기업부","보통주","500","138892244"
"KR7024120008","024120","KB오토시스","KB오토시스","KB Autosys Co.,Ltd","1994/12/07","KOSDAQ","주권","우량기업부","보통주","500","11500000"
"KR7044180008","044180","KD","KD","KD Corporation","2000/11/16","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","16525360"
"KR8392070007","950110","SBI핀테크솔루션즈","SBI핀테크솔루션즈","SBI FinTech Solutions Co., Ltd.","2012/12/17","KOSDAQ","주식예탁증권","외국기업(소속부없음)","보통주","무액면","24048040"
"KR7079940003","079940","가비아","가비아","GABIA, Inc.","2005/10/19","KOSDAQ","주권","우량기업부","보통주","500","13535684"
"KR7078890001","078890","가온미디어","가온미디어","KAON Media Co., Ltd.","2005/07/12","KOSDAQ","주권","우량기업부","보통주","500","15074293"
"KR7192410009","192410","감마누","감마누","Gamma Nu Inc.","2014/08/14","KOSDAQ","주권","중견기업부","보통주","500","26903874"
"KR7217730001","217730","강스템바이오텍","강스템바이오텍","KANGSTEM BIOTECH CO., LTD.","2015/12/21","KOSDAQ","주권","기술성장기업부","보통주","500","24836666"
"KR7114190002","114190","강원","강원","KANGWON Co., Ltd.","2009/11/20","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","18154911"
"KR7094480001","094480","갤럭시아머니트리","갤럭시아머니트리","GalaxiaMoneytree Co.,Ltd.","2007/07/20","KOSDAQ","주권","우량기업부","보통주","500","39229838"
"KR7063080006","063080","게임빌","게임빌","GAMEVIL. INC","2009/07/30","KOSDAQ","주권","우량기업부","보통주","500","6595192"
"KR7044480002","044480","경남바이오파마","경남바이오파마","Kyung Nam Biopharma CO.,LTD.","2001/01/11","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","20127806"
"KR7039240007","039240","경남스틸","경남스틸","Kyeong Nam Steel Co., LTD","2000/03/07","KOSDAQ","주권","우량기업부","보통주","100","25000000"
"KR7053950002","053950","경남제약","경남제약","KYUNG NAM PHARM.CO.,LTD.","2001/11/06","KOSDAQ","주권","중견기업부","보통주","500","17442567"
"KR7223310004","223310","경남제약헬스케어","경남제약헬스케어","KYUNG NAM PHARM HEALTH CARE CO., LTD.","2015/12/24","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","11396461"
"KR7011040003","011040","경동제약","경동제약","KyungdongPharm","1992/12/18","KOSDAQ","주권","우량기업부","보통주","500","30768766"
"KR7024910002","024910","경창산업","경창산업","KyungchangIndustrial","1994/12/29","KOSDAQ","주권","중견기업부","보통주","500","35819005"
"KR7198440000","198440","고려시멘트","고려시멘트","KOREA CEMENT co., Ltd.","2014/08/13","KOSDAQ","주권","우량기업부","보통주","100","31979960"
"KR7049720006","049720","고려신용정보","고려신용정보","KORYO CREDIT INFORMATION CO., LTD.","2002/01/31","KOSDAQ","주권","중견기업부","보통주","500","14300000"
"KR7014570006","014570","고려제약","고려제약","KOREAN DRUG CO., LTD.","2000/12/07","KOSDAQ","주권","중견기업부","보통주","500","11000000"
"KR7348150004","348150","고바이오랩","고바이오랩","KoBioLabs, Inc","2020/11/18","KOSDAQ","주권","기술성장기업부","보통주","500","15518506"
"KR7098460009","098460","고영테크놀러지","고영","Koh Young Technology Inc.","2008/06/03","KOSDAQ","주권","우량기업부","보통주","500","13730951"
"KR7038530002","038530","골드퍼시픽","골드퍼시픽","Gold Pacific Co.,Ltd","2000/06/09","KOSDAQ","주권","중견기업부","보통주","500","66197245"
"KR7215000001","215000","골프존","골프존","GOLFZON Co., Ltd.","2015/04/03","KOSDAQ","주권","중견기업부","보통주","500","6275415"
"KR7121440002","121440","골프존뉴딘홀딩스","골프존뉴딘홀딩스","GOLFZON NEWDIN HOLDINGS Co., Ltd.","2011/05/20","KOSDAQ","주권","중견기업부","보통주","500","42836818"
"KR7014200000","014200","광림","광림","KANGLIM Co., LTD.","1993/07/07","KOSDAQ","주권","중견기업부","보통주","500","52922234"
"KR7026910000","026910","광진실업","광진실업","KwangjinInd","1996/01/03","KOSDAQ","주권","중견기업부","보통주","500","6405405"
"KR7090150004","090150","광진윈텍","광진윈텍","KWANGJIN WINTEC CO., LTD","2006/10/20","KOSDAQ","주권","중견기업부","보통주","500","9658393"
"KR7355150004","355150","교보10호기업인수목적","교보10호스팩","Kyobo 10 Special Purpose Acquisition Company","2020/09/18","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5320000"
"KR7307280008","307280","교보8호기업인수목적","교보8호스팩","Kyobo 8 Special Purpose Acquisition Company","2018/12/05","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3720000"
"KR7331520007","331520","교보9호기업인수목적","교보9호스팩","Kyobo 9 Special Purpose Acquisition Company","2019/10/29","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3880000"
"KR7053270005","053270","구영테크","구영테크","GUYOUNGTECHNOLOGY COMPANY LIMITED","2002/02/07","KOSDAQ","주권","우량기업부","보통주","500","26394174"
"KR7066620006","066620","국보디자인","국보디자인","KUKBO DESIGN","2002/09/05","KOSDAQ","주권","우량기업부","보통주","500","7500000"
"KR7043650001","043650","국순당","국순당","KOOK SOON DANG CO., LTD.","2000/08/24","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","17858304"
"KR7006050009","006050","국영지앤엠","국영지앤엠","KUK YOUNG G&M","1994/10/07","KOSDAQ","주권","중견기업부","보통주","500","34895243"
"KR7060480001","060480","국일신동","국일신동","KUKIL METAL CO., LTD","2014/12/29","KOSDAQ","주권","중견기업부","보통주","500","11090000"
"KR7078130002","078130","국일제지","국일제지","KUK-IL PAPER MFG CO.,LTD","2004/10/22","KOSDAQ","주권","중견기업부","보통주","100","126348384"
"KR7307750000","307750","국전약품","국전약품","KUKJEON PHARMACEUTICAL Co.,Ltd","2018/12/19","KOSDAQ","주권","중견기업부","보통주","100","38538019"
"HK0000307485","900290","그레이트리치과기유한공사","GRT","Great Rich Technologies Limited","2016/10/25","KOSDAQ","외국주권","관리종목(소속부없음)","보통주","무액면","67375000"
"KR7204020002","204020","그리티","그리티","GRITEE, Inc.","2018/07/23","KOSDAQ","주권","우량기업부","보통주","500","20147430"
"KR7186230009","186230","그린플러스","그린플러스","GREEN PLUS Co., Ltd","2019/08/07","KOSDAQ","주권","벤처기업부","보통주","500","9607742"
"KR7083450007","083450","글로벌스탠다드테크놀로지","GST","Global Standard Technology Co., Ltd.","2006/02/01","KOSDAQ","주권","우량기업부","보통주","500","9317745"
"KYG3931T1076","900070","글로벌에스엠테크리미티드","글로벌에스엠","Global SM Tech Limited","2009/12/23","KOSDAQ","외국주권","외국기업(소속부없음)","보통주","0.5","53743968"
"KR7204620009","204620","글로벌텍스프리","글로벌텍스프리","Global Tax Free Co., Ltd.","2014/11/19","KOSDAQ","주권","벤처기업부","보통주","500","38795339"
"KR7019660000","019660","글로본","글로본","GLOBON CO., LTD.","1992/06/04","KOSDAQ","주권","중견기업부","보통주","500","30202538"
"KR7032860009","032860","글로스퍼랩스","글로스퍼랩스","Glosfer Labs, Inc.","1997/07/04","KOSDAQ","주권","중견기업부","보통주","500","9509727"
"KR7053260006","053260","금강철강","금강철강","KEUM KANG STEEL CO., LTD","2002/01/04","KOSDAQ","주권","우량기업부","보통주","500","18720000"
"KR7045890001","045890","금빛","GV","GeumVit Corp","2005/11/28","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","75067352"
"KR7036190007","036190","금화피에스시","금화피에스시","GEUMHWA PSC CO.,LTD.","2000/12/26","KOSDAQ","주권","우량기업부","보통주","500","6000000"
"KR7049080005","049080","기가레인","기가레인","GIGALANE Co., Ltd.","2013/12/19","KOSDAQ","주권","중견기업부","보통주","500","72049635"
"KR7035460005","035460","기산텔레콤","기산텔레콤","Kisan Telecom CO.,Ltd","1999/11/18","KOSDAQ","주권","벤처기업부","보통주","500","14577340"
"KR7308100007","308100","까스텔바작","까스텔바작","Castelbajac Co., Ltd.","2019/06/10","KOSDAQ","주권","우량기업부","보통주","500","6596700"
"KR7187790001","187790","나노","나노","NANO. Co., Ltd.","2014/05/08","KOSDAQ","주권","벤처기업부","보통주","500","25797855"
"KR7286750005","286750","나노브릭","나노브릭","NANOBRICK Co., Ltd.","2019/08/19","KOSDAQ","주권","기술성장기업부","보통주","1000","4560103"
"KR7151910007","151910","나노스","나노스","NANOS Co.,Ltd.","2012/08/02","KOSDAQ","주권","중견기업부","보통주","100","148625347"
"KR7121600001","121600","나노신소재","나노신소재","Advanced Nano Products Co.,Ltd","2011/02/09","KOSDAQ","주권","벤처기업부","보통주","500","10848333"
"KR7039860002","039860","나노엔텍","나노엔텍","NanoenTek,Inc.","2000/08/16","KOSDAQ","주권","중견기업부","보통주","500","26796327"
"KR7091970004","091970","나노캠텍","나노캠텍","Nano Chem Tech Inc.","2007/01/30","KOSDAQ","주권","중견기업부","보통주","500","28080425"
"KR7051490001","051490","나라엠앤디","나라엠앤디","NARA MOLD & DIE CO., LTD.","2001/06/12","KOSDAQ","주권","중견기업부","보통주","500","14200000"
"KR7190510008","190510","나무가","나무가","Namuga Co.,Ltd","2015/11/12","KOSDAQ","주권","중견기업부","보통주","500","6871090"
"KR7242040004","242040","나무기술","나무기술","NAMU TECH CO.,LTD.","2016/09/07","KOSDAQ","주권","기술성장기업부","보통주","100","32400660"
"KR7089600001","089600","나스미디어","나스미디어","Nasmedia Co., Ltd.","2013/07/17","KOSDAQ","주권","우량기업부","보통주","500","8754691"
"KR7293580007","293580","나우아이비캐피탈","나우IB","NAU IB Capital","2018/10/04","KOSDAQ","주권","중견기업부","보통주","5000","9480000"
"KR7138610001","138610","나이벡","나이벡","NIBEC CO., LTD.","2011/07/13","KOSDAQ","주권","기술성장기업부","보통주","500","9902979"
"KR7130580004","130580","나이스디앤비","나이스디앤비","NICE D&B CO., LTD.","2011/12/22","KOSDAQ","주권","벤처기업부","보통주","500","15400000"
"KR7036800001","036800","나이스정보통신","나이스정보통신","NICE INFORMATION&TELECOMMUNICATION INC.","2000/05/03","KOSDAQ","주권","우량기업부","보통주","500","10000000"
"KR7030190003","030190","나이스평가정보","NICE평가정보","NICE Information Service Co., Ltd.","2000/05/16","KOSDAQ","주권","우량기업부","보통주","500","60714820"
"KR7267320000","267320","나인테크","나인테크","Naintech. CO.,LTD.","2017/06/22","KOSDAQ","주권","벤처기업부","보통주","100","39396554"
"KR7111710000","111710","남화산업","남화산업","Namhwa Industrial Co.,Ltd","2018/11/29","KOSDAQ","주권","중견기업부","보통주","200","20588000"
"KR7091590000","091590","남화토건","남화토건","Nam Hwa Construction Company, Limited","2012/01/31","KOSDAQ","주권","우량기업부","보통주","500","11740000"
"KR7168330009","168330","내츄럴엔도텍","내츄럴엔도텍","Naturalendo Tech Co., Ltd","2013/10/31","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","20665822"
"KR7056000003","056000","네스엠","네스엠","NESM Co.,Ltd","2003/07/11","KOSDAQ","주권","중견기업부","보통주","500","19720225"
"KR7253590004","253590","네오셈","네오셈","Neosem Inc.","2018/04/04","KOSDAQ","주권","벤처기업부","보통주","100","37575588"
"KR7212560007","212560","네오오토","네오오토","NEOOTO Co., Ltd.","2015/11/18","KOSDAQ","주권","우량기업부","보통주","500","7874963"
"KR7095660007","095660","네오위즈","네오위즈","NEOWIZ","2007/07/02","KOSDAQ","주권","우량기업부","보통주","500","22033719"
"KR7042420000","042420","네오위즈홀딩스","네오위즈홀딩스","NEOWIZ HOLDINDS Corporation","2000/06/27","KOSDAQ","주권","우량기업부","보통주","500","8856866"
"KR7311390009","311390","네오크레마","네오크레마","Neo Cremar Co., Ltd.","2019/08/22","KOSDAQ","주권","벤처기업부","보통주","500","7315995"
"KR7085910008","085910","네오티스","네오티스","NEO TECHNICAL SYSTEM CO., LTD","2007/10/01","KOSDAQ","주권","중견기업부","보통주","500","11524310"
"KR7092730001","092730","네오팜","네오팜","Neopharm CO., LTD.","2007/01/30","KOSDAQ","주권","우량기업부","보통주","500","8207361"
"KR7290660000","290660","네오펙트","네오펙트","NEOFECT Co.,Ltd","2018/11/28","KOSDAQ","주권","기술성장기업부","보통주","500","18906280"
"KR7306620006","306620","네온테크","네온테크","Neontech Co., Ltd.","2018/10/31","KOSDAQ","주권","벤처기업부","보통주","100","37207622"
"KR7153460001","153460","네이블커뮤니케이션즈","네이블","Nable Communications, Inc.","2012/07/19","KOSDAQ","주권","벤처기업부","보통주","500","6530014"
"KR7007390008","007390","네이처셀","네이처셀","NATURECELL CO.,LTD.","1992/11/30","KOSDAQ","주권","중견기업부","보통주","500","61190399"
"KR7033640004","033640","네패스","네패스","NEPES Corporation","1999/12/14","KOSDAQ","주권","우량기업부","보통주","500","23059202"
"KR7330860008","330860","네패스아크","네패스아크","Nepes Ark Corporation","2020/11/17","KOSDAQ","주권","중견기업부","보통주","500","10782436"
"KR7089140008","089140","넥스턴","넥스턴","NEXTURN Co.,Ltd","2006/11/01","KOSDAQ","주권","벤처기업부","보통주","500","11846520"
"KR7065170003","065170","넥스트비티","넥스트BT","NEXT BT Co., LTD.","2002/11/19","KOSDAQ","주권","중견기업부","보통주","500","86996089"
"KR7137940003","137940","넥스트아이","넥스트아이","NextEye Co., Ltd.","2011/06/14","KOSDAQ","주권","중견기업부","보통주","100","77116173"
"KR7160550000","160550","넥스트엔터테인먼트월드","NEW","Next Entertainment World Co., Ltd.","2014/12/23","KOSDAQ","주권","중견기업부","보통주","500","27906106"
"KR7348210006","348210","넥스틴","넥스틴","NEXTIN Inc.","2020/10/08","KOSDAQ","주권","기술성장기업부","보통주","500","3159800"
"KR7041140005","041140","넥슨지티","넥슨지티","Nexon GT Co., Ltd.","2000/07/25","KOSDAQ","주권","중견기업부","보통주","500","35373322"
"KR7217270008","217270","넵튠","넵튠","Neptune Company","2015/06/18","KOSDAQ","주권","중견기업부","보통주","500","23707586"
"KR7225570001","225570","넷게임즈","넷게임즈","NAT GAMES Co., Ltd.","2015/09/25","KOSDAQ","주권","벤처기업부","보통주","500","28838832"
"KR7104620000","104620","노랑풍선","노랑풍선","Yellow Balloon Tour Co., Ltd.","2019/01/30","KOSDAQ","주권","중견기업부","보통주","500","4765650"
"KR7194700001","194700","노바렉스","노바렉스","NOVAREX Co., Ltd.","2018/11/14","KOSDAQ","주권","우량기업부","보통주","500","9003740"
"KR7285490009","285490","노바텍","노바텍","NOVATECH","2018/11/02","KOSDAQ","주권","벤처기업부","보통주","500","5021338"
"KR7278650007","278650","노터스","노터스","KNOTUS Co.,Ltd.","2019/11/27","KOSDAQ","주권","중견기업부","보통주","100","7619368"
"KR7144510005","144510","녹십자랩셀","녹십자랩셀","Green Cross Lab Cell Corporation","2016/06/23","KOSDAQ","주권","중견기업부","보통주","500","10554054"
"KR7031390008","031390","녹십자셀","녹십자셀","GREEN CROSS CELL CORPORATION","1998/09/25","KOSDAQ","주권","벤처기업부","보통주","500","12604806"
"KR7142280007","142280","녹십자엠에스","녹십자엠에스","Green Cross Medical Science Corporation","2014/12/17","KOSDAQ","주권","중견기업부","보통주","500","21117283"
"KR7234690006","234690","녹십자웰빙","녹십자웰빙","GREEN CROSS WellBeing Corporation","2019/10/14","KOSDAQ","주권","중견기업부","보통주","500","17752276"
"KR7065560005","065560","녹원씨엔아이","녹원씨엔아이","Nokwon Commercials & Industries, Inc.","2003/07/01","KOSDAQ","주권","중견기업부","보통주","500","17260625"
"KR7154030001","154030","농업회사법인 아시아종묘","아시아종묘","ASIA SEED Co.,Ltd.","2018/02/12","KOSDAQ","주권","기술성장기업부","보통주","500","10455999"
"KR7054050000","054050","농업회사법인농우바이오","농우바이오","NONG WOO BIO CO.,LTD.","2002/04/02","KOSDAQ","주권","우량기업부","보통주","500","16030561"
"KR7040160004","040160","누리텔레콤","누리텔레콤","NURI Telecom Co.,LTD.","2000/08/29","KOSDAQ","주권","벤처기업부","보통주","500","12055535"
"KR7069140002","069140","누리플랜","누리플랜","Nuriplan Co., Ltd","2010/10/26","KOSDAQ","주권","벤처기업부","보통주","500","7102743"
"KR7126870005","126870","뉴로스","뉴로스","NEUROS Co., Ltd.","2012/02/15","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","29861170"
"KR7060260007","060260","뉴보텍","뉴보텍","NUVOTEC Co., Ltd","2002/02/05","KOSDAQ","주권","벤처기업부","보통주","500","33433750"
"KR7012340006","012340","뉴인텍","뉴인텍","NUIN TEK CO., LTD","1997/02/12","KOSDAQ","주권","벤처기업부","보통주","500","30044502"
"KR7214870008","214870","뉴지랩","뉴지랩","NewGLAB CO.,LTD","2015/10/13","KOSDAQ","주권","중견기업부","보통주","500","29229188"
"KR7270870009","270870","뉴트리","뉴트리","Newtree Co., Ltd.","2018/12/13","KOSDAQ","주권","우량기업부","보통주","500","9113224"
"KR7144960002","144960","뉴파워프라즈마","뉴파워프라즈마","New Power Plasma Co.,Ltd","2016/11/30","KOSDAQ","주권","우량기업부","보통주","100","43692624"
"USU652221081","900100","뉴프라이드코퍼레이션","뉴프라이드","New Pride Corporation","2010/04/21","KOSDAQ","외국주권","투자주의환기종목(소속부없음)","보통주","0.3","123580314"
"KR7085670008","085670","뉴프렉스","뉴프렉스","NEWFLEX TECHNOLOGY Co., LTD.","2006/01/17","KOSDAQ","주권","중견기업부","보통주","500","22044315"
"KR7119860005","119860","다나와","다나와","DANAWA Co., Ltd","2011/01/24","KOSDAQ","주권","우량기업부","보통주","500","13074822"
"KR7064260003","064260","다날","다날","DANAL CO., LTD.","2004/07/23","KOSDAQ","주권","우량기업부","보통주","500","68949040"
"KR7093640001","093640","다믈멀티미디어","다믈멀티미디어","Tamul Multimedia, Co., Ltd.","2007/10/19","KOSDAQ","주권","벤처기업부","보통주","500","13140876"
"KR7039560008","039560","다산네트웍스","다산네트웍스","DASAN Networks, Inc.","2000/06/22","KOSDAQ","주권","중견기업부","보통주","500","35090068"
"KR7032190001","032190","다우데이타","다우데이타","DAOU DATA CORP.","1999/12/21","KOSDAQ","주권","우량기업부","보통주","500","38300000"
"KR7068240001","068240","다원시스","다원시스","DAWONSYS Co., LTD","2010/09/14","KOSDAQ","주권","우량기업부","보통주","500","27064407"
"KR7020400008","020400","대동금속","대동금속","DaedongMetal","1993/07/30","KOSDAQ","주권","중견기업부","보통주","1000","2607711"
"KR7008830002","008830","대동기어","대동기어","DaedongGear","1991/05/17","KOSDAQ","주권","중견기업부","보통주","500","8987520"
"KR7048470009","048470","대동스틸","대동스틸","DAE DONG STEEL CO., LTD.","2002/01/10","KOSDAQ","주권","중견기업부","보통주","500","10000000"
"KR7004780003","004780","대륙제관","대륙제관","DaeryukCan","1994/12/29","KOSDAQ","주권","우량기업부","보통주","500","15903199"
"KR7017650003","017650","대림제지","대림제지","DaelimPaper","1994/11/07","KOSDAQ","주권","우량기업부","보통주","500","9000000"
"KR7007720006","007720","대명소노시즌","대명소노시즌","DAEMYUNG SONOSEASON CO.,LTD.","1994/01/06","KOSDAQ","주권","우량기업부","보통주","500","100800450"
"KR7317850006","317850","대모엔지니어링","대모","DAEMO Engineering Co.,Ltd.","2019/07/24","KOSDAQ","주권","벤처기업부","보통주","500","8324420"
"KR7290670009","290670","대보마그네틱","대보마그네틱","DAEBO MAGNETIC CO.,LTD.","2018/11/06","KOSDAQ","주권","벤처기업부","보통주","500","7119459"
"KR7078140001","078140","대봉엘에스","대봉엘에스","Daebongls co., Ltd","2005/12/23","KOSDAQ","주권","우량기업부","보통주","500","11086579"
"KR7036480002","036480","대성미생물연구소","대성미생물","Daesung Microbiological Labs. Co., Ltd.","2000/04/04","KOSDAQ","주권","중견기업부","보통주","500","3800000"
"KR7025440009","025440","대성엘텍","대성엘텍","DAESUNG ELTEC CO., LTD.","1995/05/22","KOSDAQ","주권","중견기업부","보통주","500","99661343"
"KR7027830009","027830","대성창업투자","대성창투","Daesung Private Equity, Inc.","1999/11/30","KOSDAQ","주권","중견기업부","보통주","500","40000000"
"KR7104040001","104040","대성파인텍","대성파인텍","Daesung Fine Tech. Co., Ltd","2009/01/23","KOSDAQ","주권","벤처기업부","보통주","100","31301281"
"KR7332290006","332290","대신밸런스제7호기업인수목적","대신밸런스제7호스팩","Daishin Balance No.7 Special Purpose Acquisition Company","2019/10/11","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5205000"
"KR7336570007","336570","대신밸런스제8호기업인수목적","대신밸런스제8호스팩","Daishin Balance No.8 Special Purpose Acquisition Company","2019/12/19","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5610000"
"KR7369370002","369370","대신밸런스제9호기업인수목적","대신밸런스제9호스팩","Daishin Balance No.9 Special Purpose Acquisition Company","2020/12/23","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4210000"
"KR7020180006","020180","대신정보통신","대신정보통신","DaishinInformation","1995/10/06","KOSDAQ","주권","중견기업부","보통주","500","38428915"
"KR7045390002","045390","대아티아이","대아티아이","DAEA TI CO., LTD.","2001/05/17","KOSDAQ","주권","우량기업부","보통주","100","71151522"
"KR7108380007","108380","대양전기공업","대양전기공업","DAYANG ELECTRIC CO.,LTD","2011/07/08","KOSDAQ","주권","우량기업부","보통주","500","9567333"
"KR7006580005","006580","대양제지공업","대양제지","DaeyangPaperMfg","1993/12/29","KOSDAQ","주권","우량기업부","보통주","500","26850000"
"KR7007680002","007680","대원","대원","DAEWON CO., LTD.","2017/12/01","KOSDAQ","주권","우량기업부","보통주","500","11977951"
"KR7048910004","048910","대원미디어","대원미디어","DAEWON MEDIA CO.,LTD.","2001/07/31","KOSDAQ","주권","우량기업부","보통주","500","12578946"
"KR7005710009","005710","대원산업","대원산업","Daewonsanup","1993/06/21","KOSDAQ","주권","우량기업부","보통주","500","20037600"
"KR7290380005","290380","대유","대유","Dae Yu Co., Ltd.","2018/08/10","KOSDAQ","주권","중견기업부","보통주","500","9052400"
"KR7290120005","290120","대유에이피","대유에이피","Dayou AP Co.,Ltd.","2018/12/07","KOSDAQ","주권","중견기업부","보통주","500","10884299"
"KR7120240007","120240","대정화금","대정화금","Daejung Chemicals & Metals Co., Ltd.","2010/12/20","KOSDAQ","주권","우량기업부","보통주","500","7190391"
"KR7003310000","003310","대주산업","대주산업","Daejoo Inc.","1992/08/01","KOSDAQ","주권","중견기업부","보통주","500","35392350"
"KR7078600004","078600","대주전자재료","대주전자재료","Daejoo Electronic Materials Co., Ltd.","2004/12/10","KOSDAQ","주권","벤처기업부","보통주","500","15387644"
"KR7096350004","096350","대창솔루션","대창솔루션","DAECHANG SOLUTION CO.,LTD.","2007/12/17","KOSDAQ","주권","중견기업부","보통주","100","163761009"
"KR7140520008","140520","대창스틸","대창스틸","DaeChang Steel CO., LTD.","2014/12/05","KOSDAQ","주권","중견기업부","보통주","500","20000000"
"KR7131220006","131220","대한과학","대한과학","DAIHAN SCIENTIFIC CO., Ltd","2011/10/11","KOSDAQ","주권","벤처기업부","보통주","500","7454490"
"KR7010170009","010170","대한광통신","대한광통신","TAIHAN Fiberoptics Co.,LTD","1994/11/07","KOSDAQ","주권","우량기업부","보통주","500","73741625"
"KR7060900008","060900","대한그린파워","대한그린파워","Daehan Green Power Corporation","2002/09/17","KOSDAQ","주권","중견기업부","보통주","100","153287035"
"KR7054670005","054670","대한뉴팜","대한뉴팜","DAEHAN NEW PHARM CO., LTD.","2002/02/26","KOSDAQ","주권","중견기업부","보통주","500","14354920"
"KR7023910003","023910","대한약품공업","대한약품","DaihanPharmaceutical","1994/11/23","KOSDAQ","주권","우량기업부","보통주","500","6000000"
"KR7021040001","021040","대호피앤씨","대호피앤씨","DAEHO P&C CO., LTD","1996/08/27","KOSDAQ","주권","중견기업부","보통주","500","73112826"
"KR7021041009","021045","대호피앤씨1우선주","대호피앤씨우","DAEHO P&C CO., LTD(1P)","2001/09/13","KOSDAQ","주권","중견기업부","신형우선주","500","4242466"
"KR7067080002","067080","대화제약","대화제약","DAE HWA PHARM CO., LTD","2003/02/14","KOSDAQ","주권","우량기업부","보통주","500","18569379"
"KR7161570007","161570","더 미동","THE MIDONG","THE MIDONG Co,. Ltd","2013/11/13","KOSDAQ","주권","중견기업부","보통주","500","13791786"
"KR7298540006","298540","더네이쳐홀딩스","더네이쳐홀딩스","THE NATURE HOLDINGS CO., LTD","2020/07/27","KOSDAQ","주권","중견기업부","보통주","500","7272328"
"KR7073570004","073570","더블유아이","WI","WI Co.,Ltd.","2004/01/06","KOSDAQ","주권","중견기업부","보통주","100","75840849"
"KR7299170001","299170","더블유에스아이","더블유에스아이","WSI Co., Ltd.","2018/09/21","KOSDAQ","주권","중견기업부","보통주","100","29237963"
"KR7035290006","035290","더블유에프엠","더블유에프엠","WFM Inc.","1999/12/07","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","36223910"
"KR7052300001","052300","더블유홀딩컴퍼니","W홀딩컴퍼니","W Holding Company Co., Ltd.","2001/08/02","KOSDAQ","주권","중견기업부","보통주","100","232418093"
"KR7089230007","089230","더이앤엠","THE E&M","THE E&M Co., Ltd.","2006/10/10","KOSDAQ","주권","중견기업부","보통주","100","160411688"
"KR7213420003","213420","덕산네오룩스","덕산네오룩스","DUK SAN NEOLUX CO.,LTD","2015/02/06","KOSDAQ","주권","우량기업부","보통주","200","24010012"
"KR7317330009","317330","덕산테코피아","덕산테코피아","Duksan Techopia Co., Ltd.","2019/08/02","KOSDAQ","주권","우량기업부","보통주","500","18377428"
"KR7077360006","077360","덕산하이메탈","덕산하이메탈","DUK SAN HI METAL CO.,LTD.","2005/10/14","KOSDAQ","주권","중견기업부","보통주","200","22718501"
"KR7090410002","090410","덕신하우징","덕신하우징","DUCKSHIN HOUSING CO., LTD.","2014/08/01","KOSDAQ","주권","우량기업부","보통주","100","46084095"
"KR7263600009","263600","덕우전자","덕우전자","DERKWOO ELECTRONICS CO.,LTD.","2017/08/28","KOSDAQ","주권","우량기업부","보통주","500","15930310"
"KR7194480000","194480","데브시스터즈","데브시스터즈","Devsisters corporation","2014/10/06","KOSDAQ","주권","벤처기업부","보통주","500","11204370"
"KR7263800005","263800","데이타솔루션","데이타솔루션","Datasolution, Inc.","2017/08/03","KOSDAQ","주권","중견기업부","보통주","500","15858580"
"KR7139050009","139050","데일리블록체인","데일리블록체인","DAYLI BlockChain Co.,LTD.","2011/07/29","KOSDAQ","주권","중견기업부","보통주","500","70396824"
"KR7206560005","206560","덱스터스튜디오","덱스터","Dexter studios Co., Ltd.","2015/12/22","KOSDAQ","주권","기술성장기업부","보통주","500","25348136"
"KR7261200000","261200","덴티스","덴티스","DENTIS CO.,LTD","2017/06/26","KOSDAQ","주권","벤처기업부","보통주","100","73789453"
"KR7067990002","067990","도이치모터스","도이치모터스","DEUTSCH MOTORS INC.","2004/12/03","KOSDAQ","주권","우량기업부","보통주","500","29064418"
"KR7006620009","006620","동구바이오제약","동구바이오제약","DongKoo Bio & Pharma Co., Ltd.","2018/02/13","KOSDAQ","주권","우량기업부","보통주","500","9604000"
"KR7005160007","005160","동국산업","동국산업","DONGKUK INDUSTRIES COMPANY","1999/06/25","KOSDAQ","주권","우량기업부","보통주","1000","54244482"
