표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7067900001","067900","와이엔텍","와이엔텍","Y-ENTEC CO.,LTD.","2005/12/23","KOSDAQ","주권","우량기업부","보통주","500","18199659"
"KR7155650005","155650","와이엠씨","와이엠씨","YMC Co., Ltd.","2012/11/15","KOSDAQ","주권","우량기업부","보통주","500","19974358"
"KR7251370003","251370","와이엠티","와이엠티","YMT CO., LTD.","2017/04/27","KOSDAQ","주권","우량기업부","보통주","500","14954978"
"KR7066430000","066430","와이오엠","와이오엠","Y-OPTICS MANUFACTURE Co., Ltd.","2002/12/24","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","15855736"
"KR7193250008","193250","와이제이엠게임즈","와이제이엠게임즈","YJM Games Co., Ltd.","2014/12/29","KOSDAQ","주권","중견기업부","보통주","100","54147235"
"KR7273060004","273060","와이즈버즈","와이즈버즈","Wise birds Inc.","2017/08/07","KOSDAQ","주권","중견기업부","보통주","100","47552972"
"KR7019210004","019210","와이지-원","와이지-원","YG-1 CO., LTD","1997/08/06","KOSDAQ","주권","우량기업부","보통주","500","30573819"
"KR7122870009","122870","와이지엔터테인먼트","와이지엔터테인먼트","YG Entertainment Inc.","2011/11/23","KOSDAQ","주권","우량기업부","보통주","500","18414569"
"KR7040300006","040300","와이티엔","YTN","YTN","2001/09/04","KOSDAQ","주권","중견기업부","보통주","1000","42000000"
"KR7332570001","332570","와이팜","와이팜","Wireless Amplifier Module Inc.","2020/07/31","KOSDAQ","주권","중견기업부","보통주","500","37141356"
"KR7079000006","079000","와토스 코리아","와토스코리아","WATOS COREA CO.,LTD","2005/11/15","KOSDAQ","주권","중견기업부","보통주","500","7200000"
"KR7114630007","114630","우노앤컴퍼니","우노앤컴퍼니","UNO&COMPANY, Ltd","2010/01/15","KOSDAQ","주권","중견기업부","보통주","500","13573965"
"KR7032820003","032820","우리기술","우리기술","Woori Technology, Incorporation","2000/06/22","KOSDAQ","주권","벤처기업부","보통주","500","127507567"
"KR7041190000","041190","우리기술투자","우리기술투자","Woori Technology Investment Co., Ltd","2000/06/09","KOSDAQ","주권","벤처기업부","보통주","500","84000000"
"KR7115440000","115440","우리넷","우리넷","Woori-Net Co., Ltd.","2010/01/27","KOSDAQ","주권","벤처기업부","보통주","500","9136944"
